n,insertion_random,merge_random,insertion_sorted_input
500,0.0032933199778199195,0.0004758399911224842,3.0299881473183632e-05
1000,0.018481599958613516,0.0016912199556827546,6.0999998822808266e-05
2000,0.05285467989742756,0.002168099954724312,0.00012230011634528637
4000,0.29113058000802994,0.0067197199445217844,0.00026359991170465946
8000,0.8998821200337261,0.01119391997344792,0.0004903001245111227
